transaction_id,user_id,timestamp,amount,merchant_category,transaction_type,location,device_type,device_id,old_balance,new_balance,account_age_days,daily_transaction_count,fraud_label,fraud_type,time_since_last_transaction,is_foreign_transaction
TXN_ae90f24c32,USER_0001,2026-05-14 16:03:34.263585,1623.4,GROCERY,CARD,Mumbai,Android,DEV_a7fb1a55,753982.76,752359.36,1737,0,0,,,
TXN_a5995e7bf0,USER_0002,2026-05-14 23:28:23.263628,10646.33,SHOPPING,CARD,Kolkata,Web,DEV_69f704db,112997.21,102350.88,2978,0,0,,,
TXN_0cb2860c6f,USER_0003,2026-05-14 15:06:17.263652,552.37,SHOPPING,WALLET,Delhi,iPhone,DEV_d4688355,13715.05,13162.68,2971,0,0,,,
TXN_d4d849a596,USER_0004,2026-05-14 21:43:52.263672,4544.45,TRAVEL,BANK_TRANSFER,Delhi,Android,DEV_e0882e6a,36734.98,32190.53,3777,0,0,,,
TXN_27c4859ba5,USER_0005,2026-05-14 20:57:33.263686,2818.3,TRAVEL,WALLET,Mumbai,iPhone,DEV_a83913f3,101114.22,98295.92,681,0,0,,,
TXN_bfea68e286,USER_0006,2026-05-14 18:52:04.263701,7144.43,BILLS,WALLET,Mumbai,Web,DEV_0fc35bab,48864.85,41720.42,2982,0,0,,,
TXN_9b1e6128d8,USER_0007,2026-05-14 22:46:14.263714,11890.39,SHOPPING,BANK_TRANSFER,Hyderabad,iPhone,DEV_13f456f4,197903.34,186012.95,3611,0,0,,,
TXN_391f0f7696,USER_0008,2026-05-14 14:01:18.263730,1217.88,FOOD,BANK_TRANSFER,Kolkata,Android,DEV_5ca35b26,22231.47,21013.59,813,0,1,DEVICE_TAKEOVER,,
TXN_029da251ee,USER_0009,2026-05-14 16:06:49.263756,2602.98,BILLS,WALLET,Delhi,Android,DEV_df077dd0,107279.46,104676.48,2522,0,0,,,
TXN_71925001a8,USER_0010,2026-05-14 12:13:06.263784,10817.19,TRAVEL,WALLET,Hyderabad,Android,DEV_021c4f51,59637.2,48820.01,305,0,0,,,
TXN_3777f6b055,USER_0011,2026-05-14 20:11:39.263798,1918.22,FOOD,ATM,Mumbai,Web,DEV_3aa97146,2569.95,651.73,379,0,0,,,
TXN_3d51caa602,USER_0012,2026-05-14 21:31:38.263813,8728.41,BILLS,ATM,Chennai,Android,DEV_992510df,66923.18,58194.77,683,0,0,,,
TXN_c0d19d3e7b,USER_0013,2026-05-14 08:46:40.263825,1621.74,SHOPPING,UPI,Hyderabad,Android,DEV_3c809d4c,42351.06,40729.32,2223,0,0,,,
TXN_c6cfb60d78,USER_0014,2026-05-14 14:02:33.263837,2494.59,SHOPPING,BANK_TRANSFER,Chennai,iPhone,DEV_3d8cde49,29823.87,27329.28,3324,0,0,,,
TXN_dea00ef559,USER_0015,2026-05-14 18:24:49.263850,963.22,SHOPPING,CARD,Hyderabad,iPhone,DEV_f169c784,164445.46,163482.24,3131,0,0,,,
TXN_d4ef61e370,USER_0016,2026-05-14 01:21:27.263862,348957.02,HOTELS,ATM,Pune,Web,DEV_7a5acffa,3262524.29,2913567.27,1112,0,0,,,
TXN_836475b450,USER_0017,2026-05-14 20:01:51.263875,919.78,FOOD,ATM,Hyderabad,iPhone,DEV_776ae81a,11887.5,10967.72,2294,0,0,,,
TXN_992a910c26,USER_0018,2026-05-14 11:25:27.263891,4639.83,FOOD,WALLET,Mumbai,Web,DEV_bb788caf,167744.32,163104.49,2232,0,0,,,
TXN_3235ff7dc6,USER_0019,2026-05-14 17:54:36.263903,5235.61,GROCERY,UPI,Hyderabad,Web,DEV_8d1c13a5,513096.51,507860.9,63,0,0,,,
TXN_1daa32c959,USER_0020,2026-05-14 10:34:48.263915,4254365.72,TRAVEL,UPI,Pune,Android,DEV_7b49b7a5,5267863.359999999,1013497.64,2970,0,1,ACCOUNT_DRAIN,,
TXN_5895bb3cfa,USER_0021,2026-05-14 11:32:40.263937,138.81,ENTERTAINMENT,BANK_TRANSFER,Kolkata,Android,DEV_c5f09385,4671.15,4532.34,3467,0,0,,,
TXN_bed526ce80,USER_0022,2026-05-14 17:28:18.263950,1135.55,SHOPPING,UPI,Pune,Android,DEV_e24a0881,25674.3,24538.75,424,0,0,,,
TXN_67e373e0b2,USER_0023,2026-05-14 14:38:21.263964,79105.06,TRANSFER,BANK_TRANSFER,Chennai,Android,DEV_5a6b7be8,1568073.95,1488968.89,3927,0,0,,,
TXN_58062edfa2,USER_0024,2026-05-14 21:57:14.263976,11.77,SHOPPING,CARD,Hyderabad,iPhone,DEV_5c2727b8,60755.67,52222.0,3774,0,1,CARD_TESTING,,
TXN_b5a89f563b,USER_0025,2026-05-14 17:55:00.263993,8040.32,SHOPPING,CARD,Chennai,iPhone,DEV_29f322b1,196950.64,188910.32,239,0,0,,,
